event_id,event_type,mode,audience,level,duration_total_min,phase_order,phase_label,phase_format,is_mandatory_phase,phase_duration_min,satisfaction_phase_score,recommendation_target
5,atelier,en_ligne,etudiants,intro,210,2,icebreaker,activite,0,32,4.02,keep
5,atelier,en_ligne,etudiants,intro,210,3,atelier_principal,pratique,1,47,3.09,keep
5,atelier,en_ligne,etudiants,intro,210,4,pause,pause,1,25,4.25,keep
5,atelier,en_ligne,etudiants,intro,210,5,restitution,speech,1,36,4.58,keep
5,atelier,en_ligne,etudiants,intro,210,6,cloture,speech,1,32,3.13,keep
6,sensibilisation,hybride,professionnels,avance,124,1,ouverture,speech,1,25,3.59,keep
6,sensibilisation,hybride,professionnels,avance,124,2,presentation,speech,1,25,3.01,add_after
6,sensibilisation,hybride,professionnels,avance,124,3,temoignage,speech,0,25,4.44,remove
6,sensibilisation,hybride,professionnels,avance,124,4,stand_info,activite,0,23,4.52,keep
6,sensibilisation,hybride,professionnels,avance,124,5,cloture,speech,1,23,3.21,keep
7,depistage,hybride,etudiants,intro,126,1,ouverture,speech,1,24,4.86,swap
7,depistage,hybride,etudiants,intro,126,2,orientation,qna,1,24,4.66,keep
7,depistage,hybride,etudiants,intro,126,3,briefing,speech,1,24,3.12,swap
7,depistage,hybride,etudiants,intro,126,4,flux_depistage,pratique,1,29,4.89,keep
7,depistage,hybride,etudiants,intro,126,5,cloture,speech,1,22,3.97,keep
8,depistage,presentiel,etudiants,avance,255,1,ouverture,speech,1,44,3.8,keep
8,depistage,presentiel,etudiants,avance,255,2,flux_depistage,pratique,1,53,3.75,swap
8,depistage,presentiel,etudiants,avance,255,3,pause,pause,1,26,3.9,keep
8,depistage,presentiel,etudiants,avance,255,4,briefing,speech,1,44,3.5,keep
8,depistage,presentiel,etudiants,avance,255,5,orientation,qna,1,44,3.04,keep
8,depistage,presentiel,etudiants,avance,255,6,cloture,speech,1,40,4.18,keep
9,formation,presentiel,etudiants,intro,400,1,ouverture,speech,1,76,4.08,add_after
9,formation,presentiel,etudiants,intro,400,2,introduction,speech,1,76,4.76,keep
9,formation,presentiel,etudiants,intro,400,3,module_pratique,pratique,1,92,3.49,keep
9,formation,presentiel,etudiants,intro,400,4,etude_de_cas,atelier,0,84,3.81,keep
9,formation,presentiel,etudiants,intro,400,5,cloture,speech,1,69,4.32,keep
10,sensibilisation,en_ligne,mixte,intro,92,1,ouverture,speech,1,20,3.5,keep
10,sensibilisation,en_ligne,mixte,intro,92,2,presentation,speech,1,20,3.9,keep
10,sensibilisation,en_ligne,mixte,intro,92,3,temoignage,speech,0,20,3.56,keep
10,sensibilisation,en_ligne,mixte,intro,92,4,pause,pause,1,14,4.85,keep
10,sensibilisation,en_ligne,mixte,intro,92,5,cloture,speech,1,18,3.89,swap
11,depistage,presentiel,etudiants,avance,162,1,ouverture,speech,1,34,4.73,swap
11,depistage,presentiel,etudiants,avance,162,2,briefing,speech,1,34,3.33,keep
11,depistage,presentiel,etudiants,avance,162,3,pause,pause,1,20,3.78,keep
11,depistage,presentiel,etudiants,avance,162,4,flux_depistage,pratique,1,41,4.85,add_after
11,depistage,presentiel,etudiants,avance,162,5,cloture,speech,1,31,3.57,keep
12,depistage,hybride,mixte,intermediaire,140,1,ouverture,speech,1,29,3.1,keep
12,depistage,hybride,mixte,intermediaire,140,2,orientation,qna,1,29,4.84,keep
12,depistage,hybride,mixte,intermediaire,140,3,flux_depistage,pratique,1,35,3.11,keep
12,depistage,hybride,mixte,intermediaire,140,4,pause,pause,1,17,4.7,keep
12,depistage,hybride,mixte,intermediaire,140,5,cloture,speech,1,26,3.14,keep
13,atelier,en_ligne,etudiants,avance,214,1,ouverture,speech,1,36,3.41,keep
13,atelier,en_ligne,etudiants,avance,214,2,restitution,speech,1,36,3.48,keep
13,atelier,en_ligne,etudiants,avance,214,3,pause,pause,1,25,4.34,keep
13,atelier,en_ligne,etudiants,avance,214,4,atelier_principal,pratique,1,47,3.6,keep
13,atelier,en_ligne,etudiants,avance,214,5,icebreaker,activite,0,33,4.5,keep
13,atelier,en_ligne,etudiants,avance,214,6,cloture,speech,1,33,3.92,remove
14,formation,presentiel,mixte,intro,309,1,ouverture,speech,1,65,3.88,keep
14,formation,presentiel,mixte,intro,309,2,introduction,speech,1,65,3.61,remove
14,formation,presentiel,mixte,intro,309,3,pause,pause,1,46,4.61,keep
14,formation,presentiel,mixte,intro,309,4,etude_de_cas,atelier,0,72,4.06,keep
14,formation,presentiel,mixte,intro,309,5,cloture,speech,1,59,4.11,swap
15,formation,presentiel,professionnels,intro,407,1,ouverture,speech,1,68,3.41,keep
15,formation,presentiel,professionnels,intro,407,2,module_pratique,pratique,1,82,3.53,keep
15,formation,presentiel,professionnels,intro,407,3,introduction,speech,1,68,4.81,swap
15,formation,presentiel,professionnels,intro,407,4,etude_de_cas,atelier,0,75,3.18,keep
15,formation,presentiel,professionnels,intro,407,5,pause,pause,1,48,3.55,keep
15,formation,presentiel,professionnels,intro,407,6,cloture,speech,1,62,3.01,add_after
16,conference,presentiel,mixte,intermediaire,289,1,ouverture,speech,1,61,4.67,keep
16,conference,presentiel,mixte,intermediaire,289,2,panel,panel,0,61,3.3,keep
16,conference,presentiel,mixte,intermediaire,289,3,pause,pause,1,43,3.62,keep
16,conference,presentiel,mixte,intermediaire,289,4,intervention_invite,speech,0,67,4.8,add_after
16,conference,presentiel,mixte,intermediaire,289,5,cloture,speech,1,55,4.72,swap
17,atelier,hybride,etudiants,avance,220,1,ouverture,speech,1,48,4.76,keep
17,atelier,hybride,etudiants,avance,220,2,restitution,speech,1,48,4.47,keep
17,atelier,hybride,etudiants,avance,220,3,pause,pause,1,34,4.86,keep
17,atelier,hybride,etudiants,avance,220,4,icebreaker,activite,0,44,4.6,swap
17,atelier,hybride,etudiants,avance,220,5,cloture,speech,1,44,4.62,keep
18,formation,en_ligne,etudiants,intermediaire,188,1,ouverture,speech,1,40,3.8,keep
18,formation,en_ligne,etudiants,intermediaire,188,2,etude_de_cas,atelier,0,44,3.14,add_after
18,formation,en_ligne,etudiants,intermediaire,188,3,pause,pause,1,28,3.7,keep
18,formation,en_ligne,etudiants,intermediaire,188,4,introduction,speech,1,40,4.02,keep
18,formation,en_ligne,etudiants,intermediaire,188,5,cloture,speech,1,36,4.69,keep
19,formation,presentiel,professionnels,intro,328,1,ouverture,speech,1,55,4.21,keep
19,formation,presentiel,professionnels,intro,328,2,introduction,speech,1,55,3.77,keep
19,formation,presentiel,professionnels,intro,328,3,pause,pause,1,38,3.51,keep
19,formation,presentiel,professionnels,intro,328,4,module_pratique,pratique,1,66,4.42,keep
19,formation,presentiel,professionnels,intro,328,5,etude_de_cas,atelier,0,61,4.85,keep
19,formation,presentiel,professionnels,intro,328,6,cloture,speech,1,50,4.44,add_after
20,atelier,en_ligne,professionnels,intro,163,1,ouverture,speech,1,28,4.33,keep
20,atelier,en_ligne,professionnels,intro,163,2,restitution,speech,1,28,4.39,keep
20,atelier,en_ligne,professionnels,intro,163,3,atelier_principal,pratique,1,36,3.38,keep
20,atelier,en_ligne,professionnels,intro,163,4,pause,pause,1,19,3.76,keep
20,atelier,en_ligne,professionnels,intro,163,5,icebreaker,activite,0,25,4.5,keep
20,atelier,en_ligne,professionnels,intro,163,6,cloture,speech,1,25,4.14,keep
21,formation,en_ligne,professionnels,intro,232,1,ouverture,speech,1,39,4.59,remove
21,formation,en_ligne,professionnels,intro,232,2,pause,pause,1,27,4.47,keep
21,formation,en_ligne,professionnels,intro,232,3,introduction,speech,1,39,4.32,keep
21,formation,en_ligne,professionnels,intro,232,4,module_pratique,pratique,1,47,4.33,keep
21,formation,en_ligne,professionnels,intro,232,5,etude_de_cas,atelier,0,43,3.19,remove
21,formation,en_ligne,professionnels,intro,232,6,cloture,speech,1,35,3.47,keep
22,atelier,presentiel,etudiants,intro,241,1,ouverture,speech,1,41,3.99,keep
22,atelier,presentiel,etudiants,intro,241,2,atelier_principal,pratique,1,54,4.31,keep
22,atelier,presentiel,etudiants,intro,241,3,icebreaker,activite,0,37,4.5,add_after
22,atelier,presentiel,etudiants,intro,241,4,pause,pause,1,29,3.21,keep
22,atelier,presentiel,etudiants,intro,241,5,restitution,speech,1,41,3.85,keep
22,atelier,presentiel,etudiants,intro,241,6,cloture,speech,1,37,4.92,keep
23,formation,hybride,etudiants,intro,310,1,ouverture,speech,1,52,4.79,add_after
23,formation,hybride,etudiants,intro,310,2,introduction,speech,1,52,3.95,keep
23,formation,hybride,etudiants,intro,310,3,etude_de_cas,atelier,0,57,3.49,keep
23,formation,hybride,etudiants,intro,310,4,module_pratique,pratique,1,63,4.53,keep
23,formation,hybride,etudiants,intro,310,5,pause,pause,1,36,4.25,keep
23,formation,hybride,etudiants,intro,310,6,cloture,speech,1,47,3.55,keep
24,conference,presentiel,professionnels,intermediaire,200,1,ouverture,speech,1,40,3.13,keep
24,conference,presentiel,professionnels,intermediaire,200,2,pause,pause,1,28,4.09,keep
24,conference,presentiel,professionnels,intermediaire,200,3,keynote,speech,1,48,3.83,keep
24,conference,presentiel,professionnels,intermediaire,200,4,intervention_invite,speech,0,44,3.84,swap
24,conference,presentiel,professionnels,intermediaire,200,5,cloture,speech,1,36,4.17,keep
25,depistage,en_ligne,professionnels,intro,205,1,ouverture,speech,1,35,3.87,keep
25,depistage,en_ligne,professionnels,intro,205,2,pause,pause,1,21,3.67,keep
25,depistage,en_ligne,professionnels,intro,205,3,briefing,speech,1,35,4.36,keep
25,depistage,en_ligne,professionnels,intro,205,4,orientation,qna,1,35,3.33,keep
25,depistage,en_ligne,professionnels,intro,205,5,flux_depistage,pratique,1,43,3.26,keep
25,depistage,en_ligne,professionnels,intro,205,6,cloture,speech,1,32,3.05,keep
26,depistage,hybride,etudiants,intro,174,1,ouverture,speech,1,30,3.42,keep
26,depistage,hybride,etudiants,intro,174,2,orientation,qna,1,30,4.52,keep
26,depistage,hybride,etudiants,intro,174,3,pause,pause,1,18,4.5,keep
26,depistage,hybride,etudiants,intro,174,4,flux_depistage,pratique,1,36,4.66,keep
26,depistage,hybride,etudiants,intro,174,5,briefing,speech,1,30,3.16,keep
26,depistage,hybride,etudiants,intro,174,6,cloture,speech,1,27,4.08,remove
27,conference,presentiel,mixte,intro,190,1,ouverture,speech,1,38,3.25,keep
27,conference,presentiel,mixte,intro,190,2,intervention_invite,speech,0,42,4.13,keep
27,conference,presentiel,mixte,intro,190,3,pause,pause,1,27,4.4,keep
27,conference,presentiel,mixte,intro,190,4,keynote,speech,1,46,4.53,keep
27,conference,presentiel,mixte,intro,190,5,cloture,speech,1,34,4.21,add_after
28,formation,presentiel,professionnels,intro,328,1,ouverture,speech,1,68,4.18,add_after
28,formation,presentiel,professionnels,intro,328,2,pause,pause,1,47,3.49,keep
28,formation,presentiel,professionnels,intro,328,3,introduction,speech,1,68,4.39,keep
28,formation,presentiel,professionnels,intro,328,4,module_pratique,pratique,1,82,4.37,add_after
28,formation,presentiel,professionnels,intro,328,5,cloture,speech,1,61,4.59,keep
29,formation,en_ligne,mixte,intermediaire,279,1,ouverture,speech,1,47,3.21,remove
29,formation,en_ligne,mixte,intermediaire,279,2,etude_de_cas,atelier,0,52,4.27,add_after
29,formation,en_ligne,mixte,intermediaire,279,3,module_pratique,pratique,1,56,4.41,keep
29,formation,en_ligne,mixte,intermediaire,279,4,introduction,speech,1,47,4.47,remove
29,formation,en_ligne,mixte,intermediaire,279,5,pause,pause,1,33,3.54,keep
29,formation,en_ligne,mixte,intermediaire,279,6,cloture,speech,1,42,4.62,keep
30,sensibilisation,en_ligne,professionnels,avance,121,1,ouverture,speech,1,22,4.14,keep
30,sensibilisation,en_ligne,professionnels,avance,121,2,stand_info,activite,0,19,3.67,keep
30,sensibilisation,en_ligne,professionnels,avance,121,3,presentation,speech,1,22,3.65,keep
30,sensibilisation,en_ligne,professionnels,avance,121,4,temoignage,speech,0,22,3.71,keep
30,sensibilisation,en_ligne,professionnels,avance,121,5,pause,pause,1,15,3.56,keep
30,sensibilisation,en_ligne,professionnels,avance,121,6,cloture,speech,1,19,4.19,swap
31,depistage,presentiel,mixte,intro,262,1,ouverture,speech,1,45,3.9,keep
31,depistage,presentiel,mixte,intro,262,2,briefing,speech,1,45,3.59,keep
31,depistage,presentiel,mixte,intro,262,3,orientation,qna,1,45,3.49,keep
31,depistage,presentiel,mixte,intro,262,4,pause,pause,1,27,3.74,keep
31,depistage,presentiel,mixte,intro,262,5,flux_depistage,pratique,1,55,4.11,keep
31,depistage,presentiel,mixte,intro,262,6,cloture,speech,1,41,4.99,keep
32,conference,hybride,professionnels,intermediaire,250,1,ouverture,speech,1,48,3.43,keep
32,conference,hybride,professionnels,intermediaire,250,2,panel,panel,0,48,4.45,remove
32,conference,hybride,professionnels,intermediaire,250,3,intervention_invite,speech,0,52,4.05,keep
32,conference,hybride,professionnels,intermediaire,250,4,keynote,speech,1,57,3.2,keep
32,conference,hybride,professionnels,intermediaire,250,5,cloture,speech,1,43,3.45,keep
33,formation,hybride,mixte,intro,262,1,ouverture,speech,1,55,4.75,keep
33,formation,hybride,mixte,intro,262,2,introduction,speech,1,55,3.94,keep
33,formation,hybride,mixte,intro,262,3,etude_de_cas,atelier,0,61,3.37,keep
33,formation,hybride,mixte,intro,262,4,pause,pause,1,39,4.88,keep
33,formation,hybride,mixte,intro,262,5,cloture,speech,1,50,3.96,add_after
34,sensibilisation,en_ligne,etudiants,avance,102,1,ouverture,speech,1,21,4.12,keep
34,sensibilisation,en_ligne,etudiants,avance,102,2,temoignage,speech,0,21,4.19,keep
34,sensibilisation,en_ligne,etudiants,avance,102,3,stand_info,activite,0,19,4.55,keep
34,sensibilisation,en_ligne,etudiants,avance,102,4,presentation,speech,1,21,4.82,keep
34,sensibilisation,en_ligne,etudiants,avance,102,5,cloture,speech,1,19,4.18,keep
35,depistage,hybride,etudiants,avance,196,1,ouverture,speech,1,41,4.1,keep
35,depistage,hybride,etudiants,avance,196,2,flux_depistage,pratique,1,50,3.82,keep
35,depistage,hybride,etudiants,avance,196,3,pause,pause,1,25,3.94,keep
35,depistage,hybride,etudiants,avance,196,4,orientation,qna,1,41,3.07,keep
35,depistage,hybride,etudiants,avance,196,5,cloture,speech,1,37,3.57,swap
36,formation,hybride,etudiants,intermediaire,400,1,ouverture,speech,1,81,4.82,add_after
36,formation,hybride,etudiants,intermediaire,400,2,module_pratique,pratique,1,97,3.14,keep
36,formation,hybride,etudiants,intermediaire,400,3,etude_de_cas,atelier,0,89,3.62,add_after
36,formation,hybride,etudiants,intermediaire,400,4,pause,pause,1,57,4.14,keep
36,formation,hybride,etudiants,intermediaire,400,5,cloture,speech,1,73,3.58,keep
37,conference,hybride,professionnels,intermediaire,321,1,ouverture,speech,1,54,3.05,keep
37,conference,hybride,professionnels,intermediaire,321,2,intervention_invite,speech,0,59,4.35,swap
37,conference,hybride,professionnels,intermediaire,321,3,pause,pause,1,38,4.17,keep
37,conference,hybride,professionnels,intermediaire,321,4,panel,panel,0,54,3.04,add_after
37,conference,hybride,professionnels,intermediaire,321,5,keynote,speech,1,65,4.64,keep
37,conference,hybride,professionnels,intermediaire,321,6,cloture,speech,1,48,4.53,keep
38,depistage,hybride,professionnels,intermediaire,150,1,ouverture,speech,1,26,3.64,keep
38,depistage,hybride,professionnels,intermediaire,150,2,briefing,speech,1,26,3.32,keep
38,depistage,hybride,professionnels,intermediaire,150,3,pause,pause,1,15,3.99,keep
38,depistage,hybride,professionnels,intermediaire,150,4,flux_depistage,pratique,1,31,4.33,keep
38,depistage,hybride,professionnels,intermediaire,150,5,orientation,qna,1,26,4.52,keep
38,depistage,hybride,professionnels,intermediaire,150,6,cloture,speech,1,23,3.18,keep
39,formation,en_ligne,mixte,intro,278,1,ouverture,speech,1,47,4.25,add_after
39,formation,en_ligne,mixte,intro,278,2,introduction,speech,1,47,3.41,keep
39,formation,en_ligne,mixte,intro,278,3,etude_de_cas,atelier,0,51,4.86,keep
39,formation,en_ligne,mixte,intro,278,4,pause,pause,1,32,4.4,keep
39,formation,en_ligne,mixte,intro,278,5,module_pratique,pratique,1,56,3.24,remove
39,formation,en_ligne,mixte,intro,278,6,cloture,speech,1,42,4.22,keep
40,atelier,en_ligne,mixte,intro,179,1,ouverture,speech,1,30,4.87,keep
40,atelier,en_ligne,mixte,intro,179,2,atelier_principal,pratique,1,40,4.41,keep
40,atelier,en_ligne,mixte,intro,179,3,pause,pause,1,21,3.96,keep
40,atelier,en_ligne,mixte,intro,179,4,icebreaker,activite,0,27,3.94,keep
40,atelier,en_ligne,mixte,intro,179,5,restitution,speech,1,30,3.29,keep
40,atelier,en_ligne,mixte,intro,179,6,cloture,speech,1,27,4.2,add_after
41,atelier,presentiel,professionnels,intermediaire,249,1,ouverture,speech,1,48,3.89,keep
41,atelier,presentiel,professionnels,intermediaire,249,2,icebreaker,activite,0,43,3.66,add_after
41,atelier,presentiel,professionnels,intermediaire,249,3,atelier_principal,pratique,1,63,3.75,swap
41,atelier,presentiel,professionnels,intermediaire,249,4,restitution,speech,1,48,4.74,remove
41,atelier,presentiel,professionnels,intermediaire,249,5,cloture,speech,1,43,3.48,keep
42,sensibilisation,presentiel,professionnels,avance,188,1,ouverture,speech,1,41,4.0,keep
42,sensibilisation,presentiel,professionnels,avance,188,2,pause,pause,1,29,4.74,keep
42,sensibilisation,presentiel,professionnels,avance,188,3,presentation,speech,1,41,4.75,keep
42,sensibilisation,presentiel,professionnels,avance,188,4,stand_info,activite,0,37,4.05,keep
42,sensibilisation,presentiel,professionnels,avance,188,5,cloture,speech,1,37,4.44,keep
43,atelier,presentiel,professionnels,intermediaire,279,1,ouverture,speech,1,48,4.25,swap
43,atelier,presentiel,professionnels,intermediaire,279,2,restitution,speech,1,48,3.98,keep
43,atelier,presentiel,professionnels,intermediaire,279,3,pause,pause,1,33,4.23,keep
43,atelier,presentiel,professionnels,intermediaire,279,4,atelier_principal,pratique,1,62,3.47,keep
43,atelier,presentiel,professionnels,intermediaire,279,5,icebreaker,activite,0,43,3.57,keep
43,atelier,presentiel,professionnels,intermediaire,279,6,cloture,speech,1,43,3.18,remove
44,formation,en_ligne,etudiants,avance,204,1,ouverture,speech,1,34,3.29,keep
44,formation,en_ligne,etudiants,avance,204,2,introduction,speech,1,34,4.13,add_after
44,formation,en_ligne,etudiants,avance,204,3,etude_de_cas,atelier,0,38,3.34,keep
44,formation,en_ligne,etudiants,avance,204,4,module_pratique,pratique,1,41,3.16,keep
44,formation,en_ligne,etudiants,avance,204,5,pause,pause,1,24,4.74,keep
44,formation,en_ligne,etudiants,avance,204,6,cloture,speech,1,31,4.24,keep
45,depistage,presentiel,etudiants,intermediaire,290,1,ouverture,speech,1,61,3.15,remove
45,depistage,presentiel,etudiants,intermediaire,290,2,orientation,qna,1,61,4.98,keep
45,depistage,presentiel,etudiants,intermediaire,290,3,pause,pause,1,37,4.92,keep
45,depistage,presentiel,etudiants,intermediaire,290,4,flux_depistage,pratique,1,74,4.38,keep
45,depistage,presentiel,etudiants,intermediaire,290,5,cloture,speech,1,55,3.6,remove
46,sensibilisation,presentiel,etudiants,intermediaire,165,1,ouverture,speech,1,30,3.02,swap
46,sensibilisation,presentiel,etudiants,intermediaire,165,2,stand_info,activite,0,27,4.56,remove
46,sensibilisation,presentiel,etudiants,intermediaire,165,3,temoignage,speech,0,30,4.82,add_after
46,sensibilisation,presentiel,etudiants,intermediaire,165,4,presentation,speech,1,30,4.67,swap
46,sensibilisation,presentiel,etudiants,intermediaire,165,5,pause,pause,1,20,4.55,keep
46,sensibilisation,presentiel,etudiants,intermediaire,165,6,cloture,speech,1,27,3.46,add_after
47,atelier,hybride,etudiants,avance,307,1,ouverture,speech,1,52,4.58,keep
47,atelier,hybride,etudiants,avance,307,2,atelier_principal,pratique,1,68,3.73,keep
47,atelier,hybride,etudiants,avance,307,3,restitution,speech,1,52,4.82,keep
47,atelier,hybride,etudiants,avance,307,4,pause,pause,1,37,3.83,keep
47,atelier,hybride,etudiants,avance,307,5,icebreaker,activite,0,47,3.4,add_after
47,atelier,hybride,etudiants,avance,307,6,cloture,speech,1,47,4.75,keep
48,depistage,en_ligne,etudiants,intermediaire,119,1,ouverture,speech,1,25,4.72,add_after
48,depistage,en_ligne,etudiants,intermediaire,119,2,flux_depistage,pratique,1,30,4.96,remove
48,depistage,en_ligne,etudiants,intermediaire,119,3,pause,pause,1,15,4.61,keep
48,depistage,en_ligne,etudiants,intermediaire,119,4,briefing,speech,1,25,3.73,add_after
48,depistage,en_ligne,etudiants,intermediaire,119,5,cloture,speech,1,22,3.03,keep
49,sensibilisation,en_ligne,mixte,avance,149,1,ouverture,speech,1,27,3.05,swap
49,sensibilisation,en_ligne,mixte,avance,149,2,temoignage,speech,0,27,4.12,swap
49,sensibilisation,en_ligne,mixte,avance,149,3,stand_info,activite,0,24,3.44,keep
49,sensibilisation,en_ligne,mixte,avance,149,4,presentation,speech,1,27,4.65,swap
49,sensibilisation,en_ligne,mixte,avance,149,5,pause,pause,1,18,3.6,keep
49,sensibilisation,en_ligne,mixte,avance,149,6,cloture,speech,1,24,3.82,keep
50,formation,en_ligne,professionnels,intro,163,1,ouverture,speech,1,33,4.77,keep
50,formation,en_ligne,professionnels,intro,163,2,introduction,speech,1,33,4.67,keep
50,formation,en_ligne,professionnels,intro,163,3,pause,pause,1,23,4.88,keep
50,formation,en_ligne,professionnels,intro,163,4,module_pratique,pratique,1,40,3.56,keep
50,formation,en_ligne,professionnels,intro,163,5,cloture,speech,1,30,3.43,keep
51,atelier,en_ligne,etudiants,avance,207,1,ouverture,speech,1,43,4.9,add_after
51,atelier,en_ligne,etudiants,avance,207,2,pause,pause,1,30,3.18,keep
51,atelier,en_ligne,etudiants,avance,207,3,icebreaker,activite,0,38,3.42,keep
51,atelier,en_ligne,etudiants,avance,207,4,atelier_principal,pratique,1,56,4.94,keep
51,atelier,en_ligne,etudiants,avance,207,5,cloture,speech,1,38,3.67,remove
52,depistage,presentiel,etudiants,avance,204,1,ouverture,speech,1,35,4.72,keep
52,depistage,presentiel,etudiants,avance,204,2,orientation,qna,1,35,3.26,keep
52,depistage,presentiel,etudiants,avance,204,3,briefing,speech,1,35,3.35,keep
52,depistage,presentiel,etudiants,avance,204,4,pause,pause,1,21,3.05,keep
52,depistage,presentiel,etudiants,avance,204,5,flux_depistage,pratique,1,42,3.03,add_after
52,depistage,presentiel,etudiants,avance,204,6,cloture,speech,1,32,3.48,keep
53,atelier,en_ligne,etudiants,intro,181,1,ouverture,speech,1,37,3.9,keep
53,atelier,en_ligne,etudiants,intro,181,2,icebreaker,activite,0,33,4.23,add_after
53,atelier,en_ligne,etudiants,intro,181,3,pause,pause,1,26,4.82,keep
53,atelier,en_ligne,etudiants,intro,181,4,atelier_principal,pratique,1,49,4.32,keep
53,atelier,en_ligne,etudiants,intro,181,5,cloture,speech,1,33,4.29,keep
54,sensibilisation,en_ligne,professionnels,avance,90,1,ouverture,speech,1,18,3.25,keep
54,sensibilisation,en_ligne,professionnels,avance,90,2,temoignage,speech,0,18,4.17,keep
54,sensibilisation,en_ligne,professionnels,avance,90,3,presentation,speech,1,18,3.76,keep
54,sensibilisation,en_ligne,professionnels,avance,90,4,stand_info,activite,0,16,3.59,keep
54,sensibilisation,en_ligne,professionnels,avance,90,5,cloture,speech,1,16,3.86,add_after
55,formation,hybride,mixte,avance,382,1,ouverture,speech,1,64,3.83,keep
55,formation,hybride,mixte,avance,382,2,introduction,speech,1,64,3.85,keep
55,formation,hybride,mixte,avance,382,3,pause,pause,1,45,3.75,keep
55,formation,hybride,mixte,avance,382,4,module_pratique,pratique,1,77,3.31,keep
55,formation,hybride,mixte,avance,382,5,etude_de_cas,atelier,0,71,4.85,keep
55,formation,hybride,mixte,avance,382,6,cloture,speech,1,58,3.13,add_after
56,formation,en_ligne,etudiants,avance,295,1,ouverture,speech,1,50,3.71,keep
56,formation,en_ligne,etudiants,avance,295,2,module_pratique,pratique,1,59,4.5,keep
56,formation,en_ligne,etudiants,avance,295,3,introduction,speech,1,50,4.74,add_after
56,formation,en_ligne,etudiants,avance,295,4,etude_de_cas,atelier,0,55,4.94,keep
56,formation,en_ligne,etudiants,avance,295,5,pause,pause,1,35,4.2,keep
56,formation,en_ligne,etudiants,avance,295,6,cloture,speech,1,44,3.7,keep
57,atelier,presentiel,mixte,intermediaire,147,1,ouverture,speech,1,25,4.69,remove
57,atelier,presentiel,mixte,intermediaire,147,2,pause,pause,1,17,4.64,keep
57,atelier,presentiel,mixte,intermediaire,147,3,restitution,speech,1,25,4.23,keep
57,atelier,presentiel,mixte,intermediaire,147,4,atelier_principal,pratique,1,32,3.05,swap
57,atelier,presentiel,mixte,intermediaire,147,5,icebreaker,activite,0,22,4.66,keep
57,atelier,presentiel,mixte,intermediaire,147,6,cloture,speech,1,22,3.36,keep
58,conference,en_ligne,professionnels,intro,259,1,ouverture,speech,1,52,4.49,keep
58,conference,en_ligne,professionnels,intro,259,2,intervention_invite,speech,0,58,3.84,keep
58,conference,en_ligne,professionnels,intro,259,3,keynote,speech,1,63,3.74,add_after
58,conference,en_ligne,professionnels,intro,259,4,pause,pause,1,37,4.55,keep
58,conference,en_ligne,professionnels,intro,259,5,cloture,speech,1,47,4.14,keep
59,formation,presentiel,etudiants,avance,192,1,ouverture,speech,1,32,3.55,add_after
59,formation,presentiel,etudiants,avance,192,2,introduction,speech,1,32,3.23,keep
59,formation,presentiel,etudiants,avance,192,3,pause,pause,1,22,3.57,keep
59,formation,presentiel,etudiants,avance,192,4,module_pratique,pratique,1,39,4.36,keep
59,formation,presentiel,etudiants,avance,192,5,etude_de_cas,atelier,0,35,3.97,keep
